Country,HDI Rank,Export_Import,Foreign_Inflow,Dev_Assistance,Priv_Capital_Flow,Remittance_Inflow,Region
 Afghanistan,0.893617021,0.054069276,0.033300845,0.66894198,0.892733564,0.111547912,Asia
 Albania,0.361702128,0.141650239,0.04597141,0.088737201,0.837370242,0.236855037,Europe
 Algeria,0.478723404,0.072092368,0.03460039,0.013651877,0.884948097,0.025798526,Africa
 Angola,0.781914894,0.112644326,0.026153346,0.017064846,0.894463668,0,Africa
 Antigua and Barbuda,0.409574468,0.179667699,0.046783626,0.04778157,0.85467128,0.035135135,North America
 Argentina,0.239361702,0.016896649,0.035412606,0.010238908,0.898788927,0.002948403,South America
 Armenia,0.425531915,0.183047029,0.036224821,0.04778157,0.867647059,0.274447174,Asia
 Australia,0.037234043,0.054350887,0.03768681,0.012220009,0.896193772,0.002948403,Oceania
 Austria,0.090425532,0.228949592,0.037849253,0.038818581,0.890138408,0.016953317,Europe
 Azerbaijan,0.462765957,0.167840045,0.038174139,0.017064846,0.916955017,0.065110565,Asia
 Bahamas,0.303191489,0.143339904,0.039636127,0.013651877,0.859861592,0.099998677,North America
 Bahrain,0.218085106,0.352013517,0.033625731,0.034129693,0.89100346,0.006547826,Asia
 Bangladesh,0.70212766,0.029287525,0.033950617,0.04778157,0.89100346,0.149140049,Asia
 Barbados,0.303191489,0.161362996,0.039311241,0.023890785,0.833044983,0.051105651,North America
 Belarus,0.276595745,0.30104196,0.036387264,0.017064846,0.868512111,0.055773956,Europe
 Belgium,0.069148936,0.385525204,0.024366472,0.120378702,0.896193772,0.054791155,Europe
 Belize,0.579787234,0.251478457,0.043534763,0.078498294,0.839100346,0.12997543,North America
 Benin,0.835106383,0.105040834,0.034762833,0.146757679,0.885813149,0.035135135,Africa
 Bhutan,0.680851064,0.169811321,0.033300845,0.163822526,0.952422145,0.058476658,Asia
 Bolivia,0.563829787,0.084483244,0.032488629,0.071672355,0.886678201,0.08009828,South America
 Bosnia and Herz.,0.382978723,0.195719516,0.037361923,0.068259386,0.876297578,0.268550369,Europe
 Botswana,0.526595745,0.134328358,0.035087719,0.027303754,0.864186851,0.006633907,Africa
 Brazil,0.441489362,0.007321881,0.040123457,0.010238908,0.87716263,0.004422604,South America
 Brunei,0.244680851,0.231202478,0.03768681,0.013651877,0.959342561,0.058285125,Asia
 Bulgaria,0.292553191,0.274007322,0.036712151,0.169569856,0.904844291,0.084766585,Europe
 Burkina Faso,0.962765957,0.095184455,0.035899935,0.252559727,0.851211073,0.074201474,Africa
 Burundi,0.978723404,0.043649676,0.033138402,0.515358362,0.849480969,0.039312039,Africa
 Cabo Verde,0.664893617,0.252886511,0.041747888,0.156996587,0.859861592,0.292383292,Africa
 Cambodia,0.760638298,0.273725711,0.055393112,0.126279863,0.778546713,0.142751843,Asia
 Cameroon,0.808510638,0.039988736,0.036387264,0.116040956,0.879757785,0.021130221,Africa
 Canada,0.079787234,0.108701774,0.037361923,0.012525817,0.904844291,0.001965602,North America
 Central African Rep.,0.994680851,0.111799493,0.034437947,0.948805461,0.864552454,0.0002457,Africa
 Chad,0.989361702,0.135736412,0.042722547,0.279863481,0.858060331,0.144810521,Africa
 Chile,0.223404255,0.085609687,0.036387264,0.010238908,0.87716263,0.0004914,South America
 China,0.446808511,0.026189806,0.034925276,0.010238908,0.886678201,0.003194103,Asia
 Colombia,0.436170213,0.032948465,0.040448343,0.027303754,0.865051903,0.051351351,South America
 Comoros,0.824468085,0.047029006,0.03411306,0.259385666,0.885813149,0.28009828,Africa
