Algorithm,Attribute,Region,Visual Type,Num Clusters,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Optimal Clusters
dbscan,all,World,graph_2,4,0.286653702,1.74319958,19.23423852,N/A
dbscan,all,Asia,graph_2,4,0.533108217,0.412006851,13.06012848,N/A
dbscan,all,Africa,graph_2,4,N/A,N/A,N/A,N/A
dbscan,all,Europe,graph_2,4,0.273588482,1.531033932,8.527063651,N/A
dbscan,all,North America,graph_2,4,0.226336482,1.414901454,7.300018183,N/A
dbscan,all,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,all,Oceania,graph_2,4,0.357326159,1.189712294,5.480579055,N/A
dbscan,remittance_inflow,World,graph_2,4,0.816982114,0.150068778,75.95738286,N/A
dbscan,remittance_inflow,Asia,graph_2,4,0.773087502,0.192201691,78.19323807,N/A
dbscan,remittance_inflow,Africa,graph_2,4,0.707148191,0.294057264,143.9109042,N/A
dbscan,remittance_inflow,Europe,graph_2,4,0.76651477,0.313516827,160.7706754,N/A
dbscan,remittance_inflow,North America,graph_2,4,0.605813634,0.199919546,154.2199687,N/A
dbscan,remittance_inflow,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,remittance_inflow,Oceania,graph_2,4,0.484853225,0.633105299,7.502475891,N/A
dbscan,priv_capital_flow,World,graph_2,4,N/A,N/A,N/A,N/A
dbscan,priv_capital_flow,Asia,graph_2,4,N/A,N/A,N/A,N/A
dbscan,priv_capital_flow,Africa,graph_2,4,0.701098498,0.359285721,22.37437124,N/A
dbscan,priv_capital_flow,Europe,graph_2,4,N/A,N/A,N/A,N/A
dbscan,priv_capital_flow,North America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,priv_capital_flow,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,priv_capital_flow,Oceania,graph_2,4,N/A,N/A,N/A,N/A
dbscan,dev_assistance,World,graph_2,4,0.745726126,0.267506472,314.9858036,N/A
dbscan,dev_assistance,Asia,graph_2,4,N/A,N/A,N/A,N/A
dbscan,dev_assistance,Africa,graph_2,4,0.716689673,0.206422678,38.74100312,N/A
dbscan,dev_assistance,Europe,graph_2,4,N/A,N/A,N/A,N/A
dbscan,dev_assistance,North America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,dev_assistance,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,dev_assistance,Oceania,graph_2,4,0.757609965,0.290013518,157.3029374,N/A
dbscan,foreign_inflow,World,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,Asia,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,Africa,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,Europe,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,North America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,foreign_inflow,Oceania,graph_2,4,N/A,N/A,N/A,N/A
dbscan,export_import,World,graph_2,4,0.603540313,0.414697123,142.7382036,N/A
dbscan,export_import,Asia,graph_2,4,0.822407567,0.180411912,87.54949045,N/A
dbscan,export_import,Africa,graph_2,4,0.592187845,0.78399678,66.79077663,N/A
dbscan,export_import,Europe,graph_2,4,0.449012533,0.582703953,42.82315249,N/A
dbscan,export_import,North America,graph_2,4,0.566247699,0.275019966,14.38771738,N/A
dbscan,export_import,South America,graph_2,4,N/A,N/A,N/A,N/A
dbscan,export_import,Oceania,graph_2,4,0.730618795,0.309846335,28.86380674,N/A
dbscan,hdi_rank,World,graph_2,4,0.441837934,2.93141117,87.36086712,N/A
dbscan,hdi_rank,Asia,graph_2,4,0.508082787,1.533921189,39.57372269,N/A
dbscan,hdi_rank,Africa,graph_2,4,0.611554787,0.241981634,22.79434762,N/A
dbscan,hdi_rank,Europe,graph_2,4,0.579526069,0.496185588,113.6304257,N/A
dbscan,hdi_rank,North America,graph_2,4,0.577844519,0.25188681,38.18258347,N/A
dbscan,hdi_rank,South America,graph_2,4,0.671157725,0.309500387,65.51803872,N/A
dbscan,hdi_rank,Oceania,graph_2,4,0.606575274,0.219610728,29.99716436,N/A
unnormalized_spec,all,World,graph_2,4,0.467898522,0.33541677,7.641157668,3
unnormalized_spec,all,Asia,graph_2,4,0.362372069,0.37111591,6.40503705,1
unnormalized_spec,all,Africa,graph_2,4,0.393314536,0.355123609,6.914392069,1
unnormalized_spec,all,Europe,graph_2,4,0.468009299,0.267253098,19.68800056,3
unnormalized_spec,all,North America,graph_2,4,0.33633866,0.536088298,18.25165251,1
unnormalized_spec,all,South America,graph_2,4,-0.080780986,2.3687283,2.493094201,1
unnormalized_spec,all,Oceania,graph_2,4,0.268303744,0.471331465,6.163427016,1
